City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Port Alfred,ZA,2022-03-03 20:59:30,-33.5906,26.891,72.0,79,100,4.32
137,Zhigansk,RU,2022-03-03 20:59:31,66.7697,123.3711,-22.02,97,100,5.7
138,Alyangula,AU,2022-03-03 20:59:31,-13.8483,136.4192,78.67,94,40,0.0
139,Porgera,PG,2022-03-03 20:59:31,-5.4667,143.2,43.95,98,100,0.63
140,Ust-Shonosha,RU,2022-03-03 20:59:32,61.1531,41.343,23.11,98,100,2.51
141,Makakilo City,US,2022-03-03 20:59:32,21.3469,-158.0858,79.02,59,1,2.8
142,Maracaju,BR,2022-03-03 20:59:32,-21.6144,-55.1683,81.66,66,97,0.94
143,Komsomolskiy,UZ,2022-03-03 21:00:34,40.4272,71.7189,48.06,40,76,3.2
144,Morropon,PE,2022-03-03 21:00:36,-5.1822,-79.9689,80.2,74,100,0.29
145,Hualmay,PE,2022-03-03 21:00:38,-11.0964,-77.6139,76.1,74,71,7.67
146,Ojinaga,MX,2022-03-03 21:00:39,29.5667,-104.4167,85.57,25,0,4.61
147,Hare Bay,CA,2022-03-03 21:00:41,48.8499,-54.0148,27.19,67,100,5.57
148,Norman Wells,CA,2022-03-03 21:00:44,65.282,-126.8329,10.47,89,55,4.81
149,Najran,SA,2022-03-03 21:00:45,17.4924,44.1277,65.34,23,0,2.26
150,Samarai,PG,2022-03-03 21:00:46,-10.6167,150.6667,82.24,78,72,5.88
151,Bengkulu,ID,2022-03-03 21:00:47,-3.8004,102.2655,73.98,96,100,9.26
152,Sakaiminato,JP,2022-03-03 21:00:48,35.55,133.2333,42.48,61,3,5.61
153,Vestmanna,FO,2022-03-03 21:00:49,62.1564,-7.1664,38.32,87,40,12.66
154,Ribeira Grande,PT,2022-03-03 21:00:50,38.5167,-28.7,61.2,82,75,14.97
155,Vardo,NO,2022-03-03 21:00:51,70.3705,31.1107,24.78,93,100,19.57
156,Meulaboh,ID,2022-03-03 21:00:51,4.1363,96.1285,77.27,87,100,3.6
157,Belyy Yar,RU,2022-03-03 21:00:52,53.6039,91.3903,26.49,67,0,13.42
158,Bambanglipuro,ID,2022-03-03 21:00:52,-7.95,110.2833,77.34,90,95,5.7
159,Beloha,MG,2022-03-03 21:00:53,-25.1667,45.05,75.2,86,3,13.15
160,Kaitangata,NZ,2022-03-03 21:00:54,-46.2817,169.8464,60.31,88,100,3.83
161,Carnarvon,AU,2022-03-03 21:00:54,-24.8667,113.6333,76.64,35,0,21.81
162,Beringovskiy,RU,2022-03-03 21:00:55,63.05,179.3167,6.69,95,100,13.8
163,Zhuhai,CN,2022-03-03 21:00:55,22.2769,113.5678,69.69,94,20,6.91
164,Karakulino,RU,2022-03-03 21:00:56,56.012,53.7067,12.15,98,98,4.07
165,Amahai,ID,2022-03-03 21:00:56,-3.3333,128.9167,78.57,84,99,2.53
166,Nikolskoye,RU,2022-03-03 21:00:57,59.7035,30.7861,33.69,97,90,6.31
167,Ancud,CL,2022-03-03 21:00:57,-41.8697,-73.8203,64.42,57,72,11.99
168,Promyshlennyy,RU,2022-03-03 21:00:58,67.5833,63.9167,-24.41,100,56,5.73
169,Matara,LK,2022-03-03 21:00:58,5.9485,80.5353,78.31,84,72,6.04
170,Ilulissat,GL,2022-03-03 21:00:59,69.2167,-51.1,17.62,73,75,11.5
171,Taltal,CL,2022-03-03 21:00:21,-25.4,-70.4833,69.91,75,88,3.4
172,Mineiros,BR,2022-03-03 21:00:59,-17.5694,-52.5511,74.28,83,74,5.99
173,Nautla,MX,2022-03-03 21:01:00,20.2167,-96.7833,75.18,75,54,14.03
174,Saint Anthony,US,2022-03-03 21:01:01,45.0205,-93.218,27.3,36,100,4.61
175,Avarua,CK,2022-03-03 21:01:01,-21.2078,-159.775,84.25,79,40,8.05
176,Bandarbeyla,SO,2022-03-03 21:01:02,9.4942,50.8122,76.06,67,82,15.46
177,Pacific Grove,US,2022-03-03 21:01:03,36.6177,-121.9166,64.6,76,100,8.01
178,Udachnyy,RU,2022-03-03 21:01:03,66.4167,112.4,-23.51,100,100,1.57
179,Namatanai,PG,2022-03-03 21:01:04,-3.6667,152.4333,80.71,83,100,5.84
180,Muravlenko,RU,2022-03-03 21:01:04,63.7898,74.523,8.4,93,97,21.07
181,Mahebourg,MU,2022-03-03 21:01:05,-20.4081,57.7,78.26,87,26,10.63
182,Virginia Beach,US,2022-03-03 20:57:57,36.8529,-75.978,61.02,62,28,3.0
183,Valparaiso,CL,2022-03-03 21:00:23,-33.0393,-71.6273,71.24,68,20,9.22
184,Westport,US,2022-03-03 21:00:18,41.1415,-73.3579,42.98,34,25,7.0
185,Itacoatiara,BR,2022-03-03 21:01:06,-3.1431,-58.4442,84.58,74,90,1.41
186,Shache,CN,2022-03-03 21:01:06,38.4167,77.2406,42.48,30,16,3.69
187,Barreirinha,BR,2022-03-03 21:01:06,-2.7933,-57.07,82.29,76,98,1.88
188,Loughborough,GB,2022-03-03 20:57:03,52.7667,-1.2,51.19,90,75,6.91
189,Darnah,LY,2022-03-03 21:02:07,32.767,22.6367,55.27,65,60,6.42
190,Portland,US,2022-03-03 21:01:18,45.5234,-122.6762,52.81,79,75,5.75
191,Grand Gaube,MU,2022-03-03 21:02:08,-20.0064,57.6608,78.39,90,89,3.0
192,Vila Velha,BR,2022-03-03 20:57:31,-20.3297,-40.2925,85.95,81,20,17.27
193,Labuan,MY,2022-03-03 21:02:09,5.2767,115.2417,77.16,87,40,6.55
194,Meybod,IR,2022-03-03 21:02:09,32.2501,54.0166,62.62,19,100,5.28
195,Ales,FR,2022-03-03 21:02:10,44.1333,4.0833,50.7,77,24,2.86
196,Bogande,BF,2022-03-03 21:02:10,12.9714,-0.1436,88.41,15,43,9.1
197,Kaspiysk,RU,2022-03-03 21:02:11,42.8816,47.6392,46.58,87,98,18.01
198,Mundra,IN,2022-03-03 21:02:11,22.85,69.7333,73.71,43,0,10.94
199,Aasiaat,GL,2022-03-03 21:02:12,68.7098,-52.8699,8.58,92,100,1.43
200,Sola,VU,2022-03-03 21:02:12,-13.8833,167.55,82.09,73,73,10.63
201,Kamina,CD,2022-03-03 21:02:13,-8.7386,24.9906,63.9,94,37,0.83
202,Camp Verde,US,2022-03-03 21:02:13,34.5636,-111.8543,80.87,16,2,16.26
203,Biu,NG,2022-03-03 21:02:13,10.6129,12.1946,80.47,10,74,5.55
204,Ambilobe,MG,2022-03-03 21:02:14,-13.2,49.05,73.44,95,100,4.07
205,Baruun-Urt,MN,2022-03-03 21:02:14,46.6806,113.2792,8.26,73,100,8.97
206,Chardara,KZ,2022-03-03 21:02:15,41.2547,67.9692,55.45,46,49,10.0
207,Teknaf,BD,2022-03-03 21:02:15,20.8624,92.3058,68.59,42,1,10.78
208,Khatanga,RU,2022-03-03 21:02:15,71.9667,102.5,-29.02,100,96,1.63
209,Matadi,CD,2022-03-03 21:02:16,-5.8167,13.45,78.91,93,57,3.91
210,Chapais,CA,2022-03-03 21:02:16,49.7834,-74.8492,-1.23,81,100,10.38
211,Asau,RO,2022-03-03 21:02:17,46.4333,26.4,33.96,98,99,2.42
212,Luanda,AO,2022-03-03 21:02:17,-8.8368,13.2343,80.96,81,100,9.51
213,Kavieng,PG,2022-03-03 21:02:17,-2.5744,150.7967,81.72,80,94,6.87
214,Kashi,CN,2022-03-03 21:02:18,39.4547,75.9797,46.26,34,17,3.31
215,Ixtapa,MX,2022-03-03 21:00:31,20.7,-105.2,88.54,28,1,8.41
216,Pisco,PE,2022-03-03 21:02:18,-13.7,-76.2167,75.02,79,47,9.28
217,Seka,TH,2022-03-03 21:01:04,17.9285,103.9552,74.88,54,20,3.11
218,Los Llanos De Aridane,ES,2022-03-03 21:02:19,28.6585,-17.9182,62.35,78,75,16.11
219,Asyut,EG,2022-03-03 20:59:47,27.181,31.1837,55.58,36,100,8.84
220,Jalu,LY,2022-03-03 21:02:19,29.0331,21.5482,56.61,42,100,7.47
221,Singaraja,ID,2022-03-03 21:02:20,-8.112,115.0882,79.97,84,100,2.3
222,Nordfjordeid,NO,2022-03-03 21:02:20,61.9063,5.9915,40.95,60,0,2.3
223,Kavaratti,IN,2022-03-03 21:02:21,10.5669,72.642,81.73,67,16,12.08
224,Inhambane,MZ,2022-03-03 21:02:21,-23.865,35.3833,73.74,77,0,7.23
225,Lethem,GY,2022-03-03 21:02:21,3.3803,-59.7968,90.82,45,95,10.83
